date,open,high,low,close,volume
2024-02-16,6.24,6.34,6.09,6.14,41550945.0
2024-02-15,6.05,6.29,6.04,6.09,54076743.0
2024-02-14,5.88,6.015,5.84,6.0,41176843.0
2024-02-13,5.86,5.88,5.65,5.7,52054380.0
2024-02-12,5.91,6.28,5.9,6.08,43673000.0
2024-02-09,5.84,5.93,5.75,5.93,25563476.0
2024-02-08,5.82,5.88,5.72,5.82,32055296.0
2024-02-07,5.81,6.0,5.73,5.86,42818439.0
2024-02-06,5.68,6.05,5.6,6.03,88353582.0
2024-02-05,5.48,5.48,5.3,5.38,45420763.0
2024-02-02,5.56,5.59,5.43,5.54,56919298.0
2024-02-01,5.73,5.915,5.54,5.71,51425374.0
2024-01-31,5.69,5.86,5.43,5.62,75799329.0
2024-01-30,6.01,6.04,5.79,5.79,66444755.0
2024-01-29,6.08,6.16,5.95,6.14,40118388.0
2024-01-26,6.0,6.15,5.965,6.14,39437580.0
2024-01-25,5.91,6.08,5.83,6.04,59221386.0
2024-01-24,6.5,6.59,6.01,6.07,74363736.0
2024-01-23,6.4,6.876,6.17,6.21,119010793.0
2024-01-22,5.83,6.17,5.8,5.98,74314672.0
2024-01-19,6.16,6.16,5.86,6.06,82433119.0
2024-01-18,6.5,6.54,6.1,6.28,71543532.0
2024-01-17,6.21,6.42,6.12,6.3,63011767.0
2024-01-16,7.04,7.05,6.45,6.55,121078877.0
2024-01-12,7.26,7.53,7.16,7.17,49034582.0
2024-01-11,7.57,7.665,7.325,7.4,52385008.0
2024-01-10,7.53,7.55,7.31,7.41,54569578.0
2024-01-09,7.8,7.84,7.52,7.56,70100947.0
2024-01-08,7.86,8.05,7.73,7.93,49933553.0
2024-01-05,8.16,8.25,8.03,8.06,40324766.0
2024-01-04,8.33,8.465,8.25,8.27,38412269.0
2024-01-03,8.12,8.56,8.1,8.5,58659343.0
2024-01-02,8.93,8.94,8.38,8.42,81640311.0
2023-12-29,9.43,9.53,8.95,9.07,74905085.0
2023-12-28,9.16,9.57,9.12,9.43,91988342.0
2023-12-27,9.26,9.33,8.89,9.1,98732882.0
2023-12-26,8.77,9.43,8.63,9.33,130928214.0
2023-12-22,8.1,8.59,8.08,8.42,56076019.0
2023-12-21,8.15,8.3091,7.99,8.29,48972682.0
2023-12-20,8.63,8.7,7.92,7.92,105322270.0
